"time (s)","wave_55()"
2.829E-7,0.8379
2.829E-7,0.8389
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8400
2.829E-7,0.8410
2.829E-7,0.8422
2.829E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.83E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.831E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.832E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.833E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.834E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.835E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.836E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
2.837E-7,0.8422
